Time[s], HydroForceZ[N], HydroMomentY[Nm], OmegaY[rad/s], Pitch[deg]
0.09002, -368.5692, 70.3145, -0.27381, -1.8472
0.09004, -368.5864, 70.3168, -0.19142, -1.8474
0.09006, -368.5764, 70.3152, -0.12252, -1.8476
0.09008, -368.5404, 70.3087, -0.07266, -1.8477
0.09010, -368.4977, 70.3008, -0.04036, -1.8478
0.09012, -368.4803, 70.2994, -0.02156, -1.8478
0.09014, -368.4392, 70.2927, -0.01199, -1.8478
0.09016, -368.3917, 70.2848, -0.00807, -1.8478
0.09018, -368.3628, 70.2808, -0.00720, -1.8478
0.09020, -368.3335, 70.2774, -0.00774, -1.8479
0.09022, -368.3055, 70.2740, -0.00872, -1.8479
0.09024, -368.2931, 70.2738, -0.00968, -1.8479
0.09026, -368.2850, 70.2749, -0.01044, -1.8479
0.09028, -368.2645, 70.2732, -0.01095, -1.8479
0.09030, -368.2563, 70.2737, -0.01126, -1.8479
0.09032, -368.2284, 70.2713, -0.01142, -1.8479
0.09034, -368.1664, 70.2601, -0.01149, -1.8479
0.09037, -368.1146, 70.2513, -0.01149, -1.8480
0.09039, -368.0942, 70.2503, -0.01148, -1.8480
0.09041, -368.0907, 70.2526, -0.01145, -1.8480
0.09043, -368.0853, 70.2549, -0.01142, -1.8480
0.09045, -368.0632, 70.2525, -0.01139, -1.8480
0.09047, -368.0705, 70.2566, -0.01136, -1.8480
0.09049, -368.0807, 70.2618, -0.01134, -1.8480
0.09051, -368.0495, 70.2572, -0.01132, -1.8480
0.09053, -368.0169, 70.2536, -0.01130, -1.8481
0.09055, -368.0154, 70.2562, -0.01129, -1.8481
0.09057, -368.0226, 70.2606, -0.01127, -1.8481
0.09059, -368.0069, 70.2593, -0.01125, -1.8481
0.09061, -367.9631, 70.2534, -0.01124, -1.8481
0.09063, -367.9557, 70.2543, -0.01122, -1.8481
0.09065, -367.9749, 70.2624, -0.01121, -1.8481
0.09067, -367.9979, 70.2702, -0.01119, -1.8482
0.09070, -368.0036, 70.2758, -0.01118, -1.8482
0.09072, -368.0063, 70.2796, -0.01116, -1.8482
0.09074, -368.0002, 70.2815, -0.01114, -1.8482
0.09076, -368.0216, 70.2889, -0.01112, -1.8482
0.09078, -368.0324, 70.2953, -0.01110, -1.8482
0.09080, -368.0398, 70.3002, -0.01108, -1.8482
0.09082, -368.0222, 70.2990, -0.01106, -1.8482
0.09084, -368.0399, 70.3067, -0.01104, -1.8483
0.09086, -368.0619, 70.3144, -0.01102, -1.8483
0.09088, -368.0684, 70.3198, -0.01100, -1.8483
0.09090, -368.0927, 70.3280, -0.01098, -1.8483
0.09093, -368.1033, 70.3341, -0.01096, -1.8483
0.09095, -368.1215, 70.3405, -0.01094, -1.8483
0.09097, -368.1717, 70.3560, -0.01092, -1.8483
0.09099, -368.1722, 70.3593, -0.01089, -1.8484
0.09101, -368.1585, 70.3602, -0.01087, -1.8484
0.09103, -368.1546, 70.3624, -0.01085, -1.8484
0.09105, -368.1747, 70.3701, -0.01082, -1.8484
0.09107, -368.1932, 70.3777, -0.01080, -1.8484
0.09110, -368.2016, 70.3822, -0.01077, -1.8484
0.09112, -368.2282, 70.3918, -0.01075, -1.8484
0.09114, -368.2147, 70.3929, -0.01073, -1.8484
0.09116, -368.2165, 70.3973, -0.01070, -1.8485
0.09118, -368.2282, 70.4026, -0.01068, -1.8485
0.09120, -368.2442, 70.4094, -0.01065, -1.8485
0.09122, -368.2525, 70.4157, -0.01063, -1.8485
0.09125, -368.2725, 70.4236, -0.01060, -1.8485
0.09127, -368.3059, 70.4351, -0.01057, -1.8485
0.09129, -368.3401, 70.4466, -0.01055, -1.8485
0.09131, -368.3410, 70.4506, -0.01052, -1.8486
0.09133, -368.3510, 70.4559, -0.01049, -1.8486
0.09135, -368.3881, 70.4685, -0.01046, -1.8486
0.09137, -368.4241, 70.4798, -0.01043, -1.8486
0.09140, -368.4377, 70.4862, -0.01040, -1.8486
0.09142, -368.4566, 70.4944, -0.01037, -1.8486
0.09144, -368.4501, 70.4972, -0.01035, -1.8486
0.09146, -368.4836, 70.5091, -0.01032, -1.8486
0.09148, -368.4982, 70.5159, -0.01029, -1.8487
0.09150, -368.5210, 70.5249, -0.01025, -1.8487
0.09153, -368.5373, 70.5317, -0.01022, -1.8487
0.09155, -368.5289, 70.5333, -0.01019, -1.8487
0.09157, -368.5609, 70.5443, -0.01016, -1.8487
0.09159, -368.5688, 70.5493, -0.01013, -1.8487
0.09161, -368.5957, 70.5588, -0.01010, -1.8487
0.09164, -368.6010, 70.5634, -0.01007, -1.8487
0.09166, -368.6327, 70.5744, -0.01004, -1.8488
0.09168, -368.6711, 70.5874, -0.01001, -1.8488
0.09170, -368.6970, 70.5967, -0.00998, -1.8488
0.09172, -368.7105, 70.6034, -0.00995, -1.8488
0.09175, -368.7572, 70.6169, -0.00991, -1.8488
0.09177, -368.8005, 70.6301, -0.00988, -1.8488
0.09179, -368.8192, 70.6384, -0.00985, -1.8488
0.09181, -368.8350, 70.6446, -0.00982, -1.8488
0.09183, -368.8737, 70.6571, -0.00978, -1.8489
0.09186, -368.9332, 70.6751, -0.00975, -1.8489
0.09188, -368.9682, 70.6867, -0.00972, -1.8489
0.09190, -368.9908, 70.6956, -0.00968, -1.8489
0.09192, -369.0086, 70.7033, -0.00965, -1.8489
0.09194, -369.0240, 70.7103, -0.00961, -1.8489
