# Time [s]	Cd [-]	Cl [-]
1.000000e+01	2.406223e-01	8.839601e-01
2.000000e+01	2.306357e-01	8.612349e-01
3.000000e+01	2.206813e-01	8.386037e-01
4.000000e+01	2.107928e-01	8.161477e-01
5.000000e+01	2.010013e-01	7.939402e-01
6.000000e+01	1.913349e-01	7.720466e-01
7.000000e+01	1.818187e-01	7.505246e-01
8.000000e+01	1.724755e-01	7.294248e-01
9.000000e+01	1.633252e-01	7.087919e-01
1.000000e+02	1.543856e-01	6.886643e-01
1.100000e+02	1.456721e-01	6.690753e-01
1.200000e+02	1.371980e-01	6.500529e-01
1.300000e+02	1.289746e-01	6.316205e-01
1.400000e+02	1.210113e-01	6.137970e-01
1.500000e+02	1.133158e-01	5.965976e-01
1.600000e+02	1.058941e-01	5.800337e-01
1.700000e+02	9.875080e-02	5.641135e-01
1.800000e+02	9.188894e-02	5.488422e-01
1.900000e+02	8.531038e-02	5.342221e-01
2.000000e+02	7.901572e-02	5.202534e-01
2.100000e+02	7.300449e-02	5.069336e-01
2.200000e+02	6.727521e-02	4.942584e-01
2.300000e+02	6.182545e-02	4.822218e-01
2.400000e+02	5.665199e-02	4.708160e-01
2.500000e+02	5.175084e-02	4.600317e-01
2.600000e+02	4.711734e-02	4.498586e-01
2.700000e+02	4.274625e-02	4.402852e-01
2.800000e+02	3.863177e-02	4.312991e-01
2.900000e+02	3.476768e-02	4.228869e-01
3.000000e+02	3.114733e-02	4.150349e-01
3.100000e+02	2.776374e-02	4.077283e-01
3.200000e+02	2.460964e-02	4.009522e-01
3.300000e+02	2.167750e-02	3.946910e-01
3.400000e+02	1.895960e-02	3.889290e-01
3.500000e+02	1.644810e-02	3.836499e-01
3.600000e+02	1.413500e-02	3.788375e-01
3.700000e+02	1.201228e-02	3.744752e-01
3.800000e+02	1.007184e-02	3.705465e-01
3.900000e+02	8.305615e-03	3.670347e-01
4.000000e+02	6.705547e-03	3.639231e-01
4.100000e+02	5.263639e-03	3.611951e-01
4.200000e+02	3.971971e-03	3.588342e-01
4.300000e+02	2.822728e-03	3.568240e-01
4.400000e+02	1.808216e-03	3.551482e-01
4.500000e+02	9.208829e-04	3.537907e-01
4.600000e+02	1.533282e-04	3.527357e-01
4.700000e+02	-5.016767e-04	3.519675e-01
4.800000e+02	-1.051177e-03	3.514706e-01
4.900000e+02	-1.502024e-03	3.512298e-01
5.000000e+02	-1.860865e-03	3.512301e-01
5.100000e+02	-2.134135e-03	3.514570e-01
5.200000e+02	-2.328053e-03	3.518961e-01
5.300000e+02	-2.448614e-03	3.525331e-01
5.400000e+02	-2.501590e-03	3.533544e-01
5.500000e+02	-2.492520e-03	3.543466e-01
5.600000e+02	-2.426716e-03	3.554965e-01
5.700000e+02	-2.309256e-03	3.567915e-01
5.800000e+02	-2.144990e-03	3.582193e-01
5.900000e+02	-1.938535e-03	3.597677e-01
6.000000e+02	-1.694280e-03	3.614253e-01
6.100000e+02	-1.416388e-03	3.631808e-01
6.200000e+02	-1.108804e-03	3.650234e-01
6.300000e+02	-7.752520e-04	3.669427e-01
6.400000e+02	-4.192439e-04	3.689286e-01
6.500000e+02	-4.408216e-05	3.709715e-01
6.600000e+02	3.471353e-04	3.730622e-01
6.700000e+02	7.515114e-04	3.751919e-01
6.800000e+02	1.166344e-03	3.773522e-01
6.900000e+02	1.589122e-03	3.795352e-01
7.000000e+02	2.017517e-03	3.817334e-01
7.100000e+02	2.449382e-03	3.839395e-01
7.200000e+02	2.882744e-03	3.861470e-01
7.300000e+02	3.315795e-03	3.883494e-01
7.400000e+02	3.746885e-03	3.905410e-01
7.500000e+02	4.174506e-03	3.927162e-01
7.600000e+02	4.597285e-03	3.948699e-01
7.700000e+02	5.013981e-03	3.969975e-01
7.800000e+02	5.423479e-03	3.990947e-01
7.900000e+02	5.824785e-03	4.011576e-01
8.000000e+02	6.217024e-03	4.031825e-01
8.100000e+02	6.599430e-03	4.051665e-01
8.200000e+02	6.971345e-03	4.071065e-01
8.300000e+02	7.332213e-03	4.090002e-01
8.400000e+02	7.681569e-03	4.108454e-01
8.500000e+02	8.019036e-03	4.126400e-01
8.600000e+02	8.344311e-03	4.143826e-01
8.700000e+02	8.657168e-03	4.160719e-01
8.800000e+02	8.957446e-03	4.177067e-01
8.900000e+02	9.245047e-03	4.192864e-01
9.000000e+02	9.519935e-03	4.208103e-01
9.100000e+02	9.782124e-03	4.222782e-01
9.200000e+02	1.003168e-02	4.236899e-01
9.300000e+02	1.026870e-02	4.250455e-01
9.400000e+02	1.049334e-02	4.263452e-01
9.500000e+02	1.070578e-02	4.275895e-01
9.600000e+02	1.090624e-02	4.287789e-01
9.700000e+02	1.109496e-02	4.299143e-01
9.800000e+02	1.127221e-02	4.309964e-01
9.900000e+02	1.143828e-02	4.320262e-01
1.000000e+03	1.159351e-02	4.330048e-01
1.010000e+03	1.173820e-02	4.339333e-01
1.020000e+03	1.187271e-02	4.348130e-01
1.030000e+03	1.199740e-02	4.356453e-01
1.040000e+03	1.211262e-02	4.364314e-01
1.050000e+03	1.221876e-02	4.371728e-01
1.060000e+03	1.231619e-02	4.378709e-01
1.070000e+03	1.240529e-02	4.385273e-01
1.080000e+03	1.248642e-02	4.391435e-01
1.090000e+03	1.255996e-02	4.397210e-01
1.100000e+03	1.262627e-02	4.402614e-01
1.110000e+03	1.268572e-02	4.407664e-01
1.120000e+03	1.273866e-02	4.412374e-01
1.130000e+03	1.278545e-02	4.416761e-01
1.140000e+03	1.282643e-02	4.420839e-01
1.150000e+03	1.286195e-02	4.424625e-01
1.160000e+03	1.289234e-02	4.428133e-01
1.170000e+03	1.291794e-02	4.431379e-01
1.180000e+03	1.293905e-02	4.434376e-01
1.190000e+03	1.295599e-02	4.437138e-01
1.200000e+03	1.296903e-02	4.439681e-01
1.210000e+03	1.297847e-02	4.442016e-01
1.220000e+03	1.298458e-02	4.444158e-01
1.230000e+03	1.298760e-02	4.446117e-01
1.240000e+03	1.298781e-02	4.447907e-01
1.250000e+03	1.298542e-02	4.449539e-01
1.260000e+03	1.298067e-02	4.451023e-01
1.270000e+03	1.297378e-02	4.452371e-01
1.280000e+03	1.296494e-02	4.453593e-01
1.290000e+03	1.295435e-02	4.454697e-01
1.300000e+03	1.294218e-02	4.455694e-01
1.310000e+03	1.292861e-02	4.456591e-01
1.320000e+03	1.291380e-02	4.457398e-01
1.330000e+03	1.289791e-02	4.458122e-01
1.340000e+03	1.288108e-02	4.458770e-01
1.350000e+03	1.286346e-02	4.459350e-01
1.360000e+03	1.284516e-02	4.459866e-01
1.370000e+03	1.282631e-02	4.460327e-01
1.380000e+03	1.280702e-02	4.460736e-01
1.390000e+03	1.278739e-02	4.461099e-01
1.400000e+03	1.276753e-02	4.461420e-01
1.410000e+03	1.274752e-02	4.461704e-01
1.420000e+03	1.272746e-02	4.461954e-01
1.430000e+03	1.270743e-02	4.462175e-01
1.440000e+03	1.268749e-02	4.462368e-01
1.450000e+03	1.266772e-02	4.462538e-01
1.460000e+03	1.264817e-02	4.462688e-01
1.470000e+03	1.262889e-02	4.462818e-01
1.480000e+03	1.260993e-02	4.462934e-01
1.490000e+03	1.259132e-02	4.463035e-01
1.500000e+03	1.257310e-02	4.463125e-01
1.510000e+03	1.255532e-02	4.463205e-01
1.520000e+03	1.253798e-02	4.463277e-01
1.530000e+03	1.252112e-02	4.463343e-01
1.540000e+03	1.250474e-02	4.463404e-01
1.550000e+03	1.248888e-02	4.463462e-01
1.560000e+03	1.247354e-02	4.463517e-01
1.570000e+03	1.245872e-02	4.463572e-01
1.580000e+03	1.244443e-02	4.463626e-01
1.590000e+03	1.243068e-02	4.463682e-01
1.600000e+03	1.241746e-02	4.463739e-01
1.610000e+03	1.240477e-02	4.463799e-01
1.620000e+03	1.239261e-02	4.463862e-01
1.630000e+03	1.238097e-02	4.463929e-01
1.640000e+03	1.236983e-02	4.464000e-01
1.650000e+03	1.235920e-02	4.464076e-01
1.660000e+03	1.234905e-02	4.464158e-01
1.670000e+03	1.233938e-02	4.464245e-01
1.680000e+03	1.233018e-02	4.464339e-01
1.690000e+03	1.232143e-02	4.464439e-01
1.700000e+03	1.231312e-02	4.464545e-01
1.710000e+03	1.230524e-02	4.464659e-01
1.720000e+03	1.229778e-02	4.464780e-01
1.730000e+03	1.229073e-02	4.464909e-01
1.740000e+03	1.228407e-02	4.465045e-01
1.750000e+03	1.227778e-02	4.465190e-01
1.760000e+03	1.227186e-02	4.465343e-01
1.770000e+03	1.226628e-02	4.465505e-01
1.780000e+03	1.226104e-02	4.465676e-01
1.790000e+03	1.225612e-02	4.465855e-01
1.800000e+03	1.225149e-02	4.466042e-01
1.810000e+03	1.224715e-02	4.466237e-01
1.820000e+03	1.224306e-02	4.466440e-01
